comparison,description,tier,metric,mean_a,mean_b,abs_diff,ci_low,ci_high,pct_lift,stat,p_value,q_value,significant
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),0-29,order_rate,0.07689,0.07988,-0.00299,-0.00985,0.00387,-3.74622,-0.85476,0.39268,0.98064,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),0-29,profit_per_user,0.14911,0.15697,-0.00786,-0.02214,0.00643,-5.00459,-1.07791,0.28109,0.56557,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),30-69,order_rate,0.09922,0.11187,-0.01265,-0.02439,-0.00092,-11.30519,-2.1136,0.03455,0.32933,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),30-69,profit_per_user,0.14978,0.17357,-0.0238,-0.0429,-0.00469,-13.7095,-2.44174,0.01463,0.1756,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),70-79,order_rate,0.10397,0.10376,0.00021,-0.01681,0.01719,0.20247,0.02427,0.98064,0.98064,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),70-79,profit_per_user,0.11182,0.11816,-0.00634,-0.02642,0.01373,-5.36688,-0.61924,0.53578,0.89478,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),80-89,order_rate,0.08698,0.09049,-0.00352,-0.02026,0.01313,-3.88563,-0.41412,0.67879,0.98064,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),80-89,profit_per_user,0.06813,0.06753,0.0006,-0.01289,0.0141,0.89138,0.08744,0.93032,0.9725,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),90-99,order_rate,0.08947,0.08832,0.00115,-0.02296,0.02531,1.30475,0.09409,0.92504,0.98064,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),90-99,profit_per_user,0.04839,0.04588,0.00251,-0.01114,0.01616,5.47566,0.36086,0.71824,0.90725,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),100,order_rate,0.03384,0.03308,0.00076,-0.00599,0.0075,2.28242,0.22046,0.82551,0.98064,False
count_3_vs_1,Issue 3 vouchers instead of 1 (same copay/min-spend),100,profit_per_user,0.02952,0.03098,-0.00146,-0.00796,0.00504,-4.71709,-0.44069,0.65944,0.89478,False
